Ternary convex hull,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Mg,MgO,SiO2,,MgSiO3,Mg2SiO3,Mg3SiO3,Mg4SiO3,Mg5SiO3,Mg6SiO3,,Mg2SiO4,Mg3SiO4,Mg4SiO4,Mg5SiO4,Mg6SiO4,,MgSi2O5,Mg2Si2O5,,Mg4Si2O5
Pressure,,,,,,,,,,,,,,,,,,,,,
GPa,,,,,,,,,,,,,,,,,,,,,
100,7.59344,-2.062625,-9.9112925,,-12.2763525,-5.7620775,,5.448661,,,,-12.150935,-6.3883045,,7.863599,,,-20.45713975,,,-4.436311
200,13.866685,5.863685,1.22596,,6.23647775,18.365935,,41.0975615,,,,13.87770075,24.6896985,,50.414331,,,9.3625765,,,41.226565
300,19.14739,12.8751275,11.00643,,22.77485975,39.358465,,72.267328,,,,36.8753405,52.234473,,87.573151,,,35.341815,,,81.418383
400,23.837535,19.292445,20.025205,,37.9849925,58.429045,78.52783,100.60612,124.05737,147.797285,,57.9490205,77.254537,101.29532,121.3215,148.74619,,59.22117125,107.877678,,118.173905
500,28.107807,25.22071,28.50118,,52.2208,76.203855,100.66643,126.9281835,154.77209,182.777288,,77.6236745,100.6269625,128.78094,152.58929,184.25032,,81.51462,132.829601,,152.209545
600,32.01578,30.58241,36.5427775,,65.6841775,92.96484,121.52951,151.640059,183.6143,215.57435,,96.20878,122.6998225,154.65922,182.00564,217.58304,,102.5140738,156.65749,,184.38306
700,35.54071,35.67889,44.2240425,,78.5145825,108.902315,141.36355,175.098057,210.9489,246.62066,,113.9079875,143.6926995,179.2121,209.89939,249.09265,,122.513683,179.464634,,214.95812
800,38.81934,40.55394,51.32717333,,90.81146,124.15061,160.32994,197.4705055,237.0285,276.206,,130.8646123,163.7822785,202.65951,236.52605,279.08664,,141.6736738,201.396342,,244.19784
900,41.83029,45.23998,58.09784333,,102.648995,138.808975,178.55822,218.990423,262.03981,304.5504,,147.1849563,183.099246,225.16333,262.07542,307.79306,,160.1119658,222.564246,,272.296495
1000,44.68902,49.76172,64.64483667,,114.0845925,152.953925,196.14411,239.6759025,286.12145,331.82124,,162.9803443,201.7436965,246.84722,286.68937,335.38153,,177.9606363,,,299.40248
1500,57.30646,70.466294,94.74196,,166.5524925,217.71067,276.60701,331.096984,395.81524,455.75321,,235.2994743,287.158478,345.77691,398.96592,460.29726,,259.5641373,,,423.43421
2000,68.02697,88.900334,121.6496667,,,275.31996,348.11342,410.430725,492.72622,550.04578,,,,,,,,,,,
