,MgO,,,MgSiO3,,Mg2SiO3,,Mg3SiO3,,Mg4SiO3,,,Mg5SiO3,,Mg6SiO3,,Mg2SiO4,,Mg3SiO4,,Mg5SiO4,,MgSi2O5,,Mg4Si2O5
Pressure,B1,B2,,PPV,,Cmmm,,P4/mmm,,Cmmm,P4/nmm,,P4/mmm,,I4mm,,I-42d,,Cmmm,,Pmm2,,P21/c,,P42/mnm
GPa,,,,,,,,,,,,,,,,,,,,,,,,,
100,-2.062625,-0.87276,,-12.2763525,,-5.7620775,,-0.94276,,10.783,5.448661,,12.36139,,19.8554,,-12.150935,,-6.3883045,,7.863599,,-20.45713975,,-4.436311
200,5.863685,6.72671,,6.23647775,,18.365935,,28.69105,,46.47409,41.0975615,,54.36651,,68.147305,,13.87770075,,24.6896985,,50.414331,,9.3625765,,41.226565
300,12.8751275,13.42162,,22.77485975,,39.358465,,54.75287,,77.46055,72.267328,,90.92096,,109.97673,,36.8753405,,52.234473,,87.573151,,35.341815,,81.418383
400,19.292445,19.5314,,37.9849925,,58.429045,,78.52783,,105.469895,100.60612,,124.05737,,147.797285,,57.9490205,,77.254537,,121.3215,,59.22117125,,118.173905
500,25.2817825,25.22071,,52.2208,,76.203855,,100.66643,,131.3493285,126.9281835,,154.77209,,182.777288,,77.6236745,,100.6269625,,152.58929,,81.51462,,152.209545
600,30.9368,30.58241,,65.6841775,,92.96484,,121.52951,,155.61852,151.640059,,183.6143,,215.57435,,96.20878,,122.6998225,,182.00564,,102.5140738,,184.38306
700,36.320545,35.67889,,78.5145825,,108.902315,,141.36355,,175.098057,178.55128,,210.9489,,246.62066,,113.9079875,,143.6926995,,209.89939,,122.513683,,214.95812
800,41.4771925,40.55394,,90.81146,,124.15061,,160.32994,,197.4705055,200.372861,,237.0285,,276.206,,130.8646123,,163.7822785,,236.52605,,141.6736738,,244.19784
900,46.4393525,45.23998,,102.648995,,138.808975,,178.55822,,218.990423,221.285905,,262.03981,,304.5504,,147.1849563,,183.099246,,262.07542,,160.1119658,,272.296495
1000,51.2320775,49.76172,,114.0845925,,152.953925,,196.14411,,239.6759025,241.034092,,286.12145,,331.82124,,162.9803443,,201.7436965,,286.68937,,177.9606363,,299.40248
1500,,70.466294,,166.5524925,,217.71067,,276.60701,,331.096984,334.0605565,,395.81524,,455.75321,,235.2994743,,287.158478,,398.96592,,259.5641373,,423.43421
2000,,88.900334,,213.345215,,275.31996,,348.11342,,410.430725,,,492.72622,,550.04578,,,,,,,,,,
3000,,121.382645,,295.8603925,,376.74101,,473.73249,,548.880685,,,661.87873,,731.57093,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
