Mg2SiO3,,,,,,,Mg4SiO3,,,,,,Mg3SiO4,,,,
Energy,PDOS,,,,,,Energy,PDOS,,,,,Energy,PDOS,,,
eV,Mg 3s,Si 3p,O 2p,ISQ,,,eV,Mg 3s,Si 3p,O 2p,,,eV,Mg 3s,Si 3p,O 2p,ISQ
,,,,,,,,,,,,,,,,,
-34.36617,0,0,0,0,,,-41.67568,0,0,0,,,-32.56665,0,0,0,0
-34.33317,0,0,0,0,,,-41.63368,0,0,0,,,-32.53165,0,0,0,0
-34.29917,0,0,0,0,,,-41.59068,0,0,0,,,-32.49565,0,0,0,0
-34.26517,0,0,0,0,,,-41.54868,0,0,0,,,-32.46065,0,0,0,0
-34.23117,0,0,0,0,,,-41.50568,0,0,0,,,-32.42565,0,0,0,0
-34.19717,0,0,0,0,,,-41.46368,0,0,0,,,-32.39065,0,0,0,0
-34.16317,0,0,0,0,,,-41.42068,0,0,0,,,-32.35465,0,0,0,0
-34.12917,0,0,0,0,,,-41.37868,0,0,0,,,-32.31965,0,0,0,0
-34.09517,0,0,0,0,,,-41.33668,0,0,0,,,-32.28465,0,0,0,0
-34.06117,0,0,0,0,,,-41.29368,0,0,0,,,-32.24965,0,0,0,0
-34.02717,0,0,0,0,,,-41.25168,0,0,0,,,-32.21365,0,0,0,0
-33.99317,0,0,0,0,,,-41.20868,0,0,0,,,-32.17865,0,0,0,0
-33.95917,0,0,0,0,,,-41.16668,0,0,0,,,-32.14365,0,0,0,0
-33.92517,0,0,0,0,,,-41.12368,0,0,0,,,-32.10865,0,0,0,0
-33.89117,0,0,0,0,,,-41.08168,0,0,0,,,-32.07265,0,0,0,0
-33.85717,0,0,0,0,,,-41.03868,0,0,0,,,-32.03765,0,0,0,0
-33.82317,0,0,0,0,,,-40.99668,0,0,0,,,-32.00265,0,0,0,0
-33.79017,0,0,0,0,,,-40.95368,0,0,0,,,-31.96665,0,0,0,0
-33.75617,0,0,0,0,,,-40.91168,0,0,0,,,-31.93165,0,0,0,0
-33.72217,0,0,0,0,,,-40.86868,0,0,0,,,-31.89665,0,0,0,0
-33.68817,0,0,0,0,,,-40.82668,0,0,0,,,-31.86165,0,0,0,0
-33.65417,0,0,0,0,,,-40.78468,0,0,0,,,-31.82565,0,0,0,0
-33.62017,0,0,0,0,,,-40.74168,0,0,0,,,-31.79065,0,0,0,0
-33.58617,0,0,0,0,,,-40.69968,0,0,0,,,-31.75565,0,0,0,0
-33.55217,0,0,0,0,,,-40.65668,0,0,0,,,-31.72065,0,0,0,0
-33.51817,0,0,0,0,,,-40.61468,0,0,0,,,-31.68465,0,0,0,0
-33.48417,0,0,0,0,,,-40.57168,0,0,0,,,-31.64965,0,0,0,0
-33.45017,0,0,0,0,,,-40.52968,0,0,0,,,-31.61465,0,0,0,0
-33.41617,0,0,0,0,,,-40.48668,0,0,0,,,-31.57965,0,0,0,0
-33.38217,0,0,0,0,,,-40.44468,0,0,0,,,-31.54365,0,0,0,0
-33.34817,0,0,0,0,,,-40.40168,0,0,0,,,-31.50865,0,0,0,0
-33.31417,0,0,0,0,,,-40.35968,0,0,0,,,-31.47365,0,0,0,0
-33.28117,0,0,0,0,,,-40.31668,0,0,0,,,-31.43765,0,0,0,0
-33.24717,0,0,0,0,,,-40.27468,0,0,0,,,-31.40265,0,0,0,0
-33.21317,0,0,0,0,,,-40.23168,0,0,0,,,-31.36765,0,0,0,0
-33.17917,0,0,0,0,,,-40.18968,0,0,0,,,-31.33265,0,0,0,0
-33.14517,0,0,0,0,,,-40.14768,0,0,0,,,-31.29665,0,0,0,0
-33.11117,0,0,0,0,,,-40.10468,0,0,0,,,-31.26165,0,0,0,0
-33.07717,0,0,0,0,,,-40.06268,0,0,0,,,-31.22665,0,0,0,0
-33.04317,0,0,0,0,,,-40.01968,0,0,0,,,-31.19165,0,0,0,0
-33.00917,0,0,0,0,,,-39.97768,0,0,0,,,-31.15565,0,0,0,0
-32.97517,0,0,0,0,,,-39.93468,0,0,0,,,-31.12065,0,0,0,0
-32.94117,0,0,0,0,,,-39.89268,0,0,0,,,-31.08565,0,0,0,0
-32.90717,0,0,0,0,,,-39.84968,0,0,0,,,-31.04965,0,0,0,0
-32.87317,0,0,0,0,,,-39.80768,0,0,0,,,-31.01465,0,0,0,0
-32.83917,0,0,0,0,,,-39.76468,0,0,0,,,-30.97965,0,0,0,0
-32.80517,0,0,0,0,,,-39.72268,0,0,0,,,-30.94465,0,0,0,0
-32.77117,0,0,0,0,,,-39.67968,0,0,0,,,-30.90865,0,0,0,0
-32.73817,0,0,0,0,,,-39.63768,0,0,0,,,-30.87365,0,0,0,0
-32.70417,0,0,0,0,,,-39.59568,0,0,0,,,-30.83865,0,0,0,0
-32.67017,0,0,0,0,,,-39.55268,0,0,0,,,-30.80365,0,0,0,0
-32.63617,0,0,0,0,,,-39.51068,0,0,0,,,-30.76765,0,0,0,0
-32.60217,0,0,0,0,,,-39.46768,0,0,0,,,-30.73265,0,0,0,0
-32.56817,0,0,0,0,,,-39.42568,0,0,0,,,-30.69765,0,0,0,0
-32.53417,0,0,0,0,,,-39.38268,0,0,0,,,-30.66265,0,0,0,0
-32.50017,0,0,0,0,,,-39.34068,0,0,0,,,-30.62665,0,0,0,0
-32.46617,0,0,0,0,,,-39.29768,0,0,0,,,-30.59165,0,0,0,0
-32.43217,0,0,0,0,,,-39.25568,0,0,0,,,-30.55665,0,0,0,0
-32.39817,1E-5,0,0,0,,,-39.21268,0,0,0,,,-30.52065,0,0,0,0
-32.36417,1E-5,0,0,1E-5,,,-39.17068,0,0,0,,,-30.48565,1E-5,0,0,0
-32.33017,3E-5,0,0,1E-5,,,-39.12768,0,0,0,,,-30.45065,2E-5,0,0,1E-5
-32.29617,6E-5,0,0,3E-5,,,-39.08568,0,0,0,,,-30.41565,5E-5,0,0,1E-5
-32.26217,1.2E-4,0,1E-5,6E-5,,,-39.04268,0,0,0,,,-30.37965,1E-4,0,0,3E-5
-32.22817,2.3E-4,0,1E-5,1.2E-4,,,-39.00068,1E-5,0,0,,,-30.34465,2.1E-4,0,2E-5,6E-5
-32.19517,4.2E-4,1E-5,2E-5,2.1E-4,,,-38.95868,2E-5,0,0,,,-30.30965,4.2E-4,0,2E-5,1.2E-4
-32.16117,7.4E-4,1E-5,4E-5,3.8E-4,,,-38.91568,6E-5,0,0,,,-30.27465,7.8E-4,0,4E-5,2.2E-4
-32.12717,0.00123,3E-5,7E-5,6.3E-4,,,-38.87368,1.3E-4,0,0,,,-30.23865,0.00137,0,8E-5,3.9E-4
-32.09317,0.00196,4E-5,1.4E-4,0.001,,,-38.83068,2.8E-4,1E-5,1E-5,,,-30.20365,0.0023,2E-5,1.3E-4,6.6E-4
-32.05917,0.00299,6E-5,2E-4,0.00153,,,-38.78868,5.5E-4,2E-5,3E-5,,,-30.16865,0.00369,3E-5,2.2E-4,0.00106
-32.02517,0.00436,1.1E-4,3.1E-4,0.00225,,,-38.74568,0.00101,4E-5,4E-5,,,-30.13265,0.00563,5E-5,3.4E-4,0.00163
-31.99117,0.00613,1.7E-4,4.3E-4,0.00317,,,-38.70368,0.00174,7E-5,1E-4,,,-30.09765,0.00821,8E-5,5.1E-4,0.00238
-31.95717,0.00828,2.5E-4,6.1E-4,0.0043,,,-38.66068,0.00278,1.3E-4,1.7E-4,,,-30.06265,0.01147,1.2E-4,7.1E-4,0.00333
-31.92317,0.01079,3.5E-4,8E-4,0.00563,,,-38.61868,0.00419,2.3E-4,2.7E-4,,,-30.02765,0.01535,1.8E-4,9.8E-4,0.00446
