Density,,,,,,,,,,,
Pressure,,,,,,,,,,,
GPa,,,,,,,,,,,
,ppv-MgSiO3,Mg2SiO3,Mg3SiO3,Mg4SiO3,Mg5SiO3,Mg6SiO3,Mg2SiO4,Mg3SiO4,Mg5SiO4,MgSi2O5,Mg4Si2O5
,,,,,,,,,,,
200,5.99504,5.87741,5.61387,5.46163,5.28497,5.17648,6.02216,5.89425,5.62674,6.05937,5.71648
300,6.59045,6.51126,6.2348,6.1832,5.91665,5.81563,6.65793,6.52718,6.28683,6.71342,6.33545
400,7.09154,7.04151,6.75196,6.76765,6.44154,6.34582,7.18567,7.06302,6.83688,7.22386,6.85736
500,7.53376,7.506,7.20196,7.27757,6.89779,6.807,7.64469,7.52678,7.31476,7.71699,7.31551
600,7.93159,7.92237,7.60711,7.73419,7.30787,7.22111,8.05585,7.9432,7.74429,8.13201,7.72674
700,8.29669,8.30356,7.97484,8.1503,7.6825,7.60085,8.43081,8.32274,8.13683,8.51049,8.10226
800,8.63621,8.65583,8.31517,8.53456,8.03026,7.95179,8.77761,8.67542,8.49942,8.86138,8.45023
900,8.95392,8.98636,8.63431,8.89319,8.35318,8.28143,9.10156,9.00451,8.83821,9.19066,8.77447
1000,9.25334,9.297,8.93678,9.23117,8.65954,8.59227,9.40755,9.31381,9.15761,9.50196,9.08076
1500,10.5654,10.64734,10.24676,10.7039,9.9999,9.95719,10.73065,10.65905,10.54909,10.85344,10.41128
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
200,0,-0.11762,-0.38117,-0.53341,-0.71007,-0.81856,0.02712,-0.10079,-0.3683,0.06433,-0.27856
300,0,-0.07919,-0.35565,-0.40725,-0.6738,-0.77483,0.06747,-0.06327,-0.30362,0.12297,-0.255
400,0,-0.05003,-0.33958,-0.32389,-0.64999,-0.74572,0.09413,-0.02852,-0.25465,0.13232,-0.23418
500,0,-0.02775,-0.3318,-0.25618,-0.63597,-0.72675,0.11093,-0.00698,-0.219,0.18323,-0.21825
600,0,-0.00922,-0.32448,-0.1974,-0.62372,-0.71048,0.12426,0.01161,-0.1873,0.20042,-0.20485
700,0,0.00686,-0.32185,-0.14639,-0.61419,-0.69584,0.13412,0.02605,-0.15986,0.2138,-0.19443
800,0,0.01962,-0.32104,-0.10165,-0.60595,-0.68442,0.1414,0.03921,-0.13679,0.22518,-0.18598
900,0,0.03244,-0.31961,-0.06074,-0.60074,-0.67249,0.14764,0.05059,-0.11571,0.23674,-0.17945
1000,0,0.04366,-0.31656,-0.02217,-0.5938,-0.66107,0.15421,0.06047,-0.09573,0.24862,-0.17258
1500,0,0.08193,-0.31864,0.1385,-0.5655,-0.60821,0.16525,0.09365,-0.01631,0.28804,-0.15412
